sentiment,preprocessed_text
0,sooo sad miss san diego
0,bos bullying
0,interview leave
0,son release bought
2,2am feeding baby fun smile coo
2,journey wow u cooler hehe possible
2,like song love story taylor swift
0,sharpie running dangerously low ink
0,want music tonight lost voice
0,uh oh sunburned
0,sok trying plot alternative speak sigh
0,ive sick past day hair look wierd didnt hat look
0,home gon na miss
2,playing ghost online interesting new update kirin pet metamorph job wait dragon pet
2,free fillin app ipod fun im addicted
0,im sorry
0,way malaysiano internet access twit
2,juss came backk berkeleyy omg madd fun havent minute whassqoodd
0,went sleep power cut noida power working
2,im going home seen new twitter design quiteheavenly isn
2,hope unni audition fighting dahye unni
0,consolation got bmi tested hahaha say obesed unhappy 10 minute
2,thats funny cute kid
0,born raised nyc living texas past 10 year miss ny
0,im soooooo sleeeeepy day o school todaysniffle
2,little happy wine jeje ok itsm free time care jaja love day
2,im avid fan magazine love magazine
2,love im available 5pm dear love help convert vidsï½
0,egh blah boooooooooooo dunno wan na work hangover suckkkkkk im drunk mess
0,donbt like peel prawn dont like going shopping running money crawling round car looking
0,case got new week im thrilled
0,u dissappointed past day
2,romance zero funny
0,bah coworker ran work late bag smacked knee hurt
0,aw torn ace heart hunchback
0,lost friend im sleepyi wan na home
0,easily
2,better way spoil mum let kick relax nice meal bottle favorite wine wine red
0,mannnn _ got iphone im jealous
2,he awesome worked he good friend
2,chilliin
2,celticslakers rematch sound better dont think lol
0,wow missin family today baddd
0,sooo tired
2,thank yyyyyyyyyoooooooooouuuuu
2,lucky kidi wan na loserville pity im oz
0,sick flu like thing
0,reply simfinger problem irape parody video response sorry guy
2,happy star war day enjoy holiday uk
0,miss bby wish going tomorrow good
2,im working isnt ready post publicly beta testing cool new script coded
2,sweeeeet san fran awesome love
0,waiting sleeping pill kick gon na tired work tomorrow
2,happy mother day mum
0,caseys gone piddled little carpet shes prolly freaked cause new
0,hemp cloth marvelous unfortunately
2,saw 3d baddie best
2,4am im beach pretty
0,1 week post myhorrible traumatic jumping cholla accidentchollas dirty trickpieces starting emerge hand ouch
0,realy wanted cause nice everybodys busy
2,awesome im ocean beach know way yourbiggestfan im real big fan
2,haha know work blip apart obvious thanks reblipping song nice day
2,safe trip joshy pooyoull knock dead speech
